movie_id,director
941,Richard Donner
942,Richard Donner
943,Richard Donner
927,Joe Dante
928,Joe Dante
9340,Richard Donner
9342,Martin Campbell
38509,Theresa Connelly
60033,Michael Oblowitz
12101,Richard Fleischer
19,Fritz Lang
165,Robert Zemeckis
196,Robert Zemeckis
551,Ronald Neame
16084,Gary Nelson
17984,Robert Stevenson
22328,Vincent McEveety
32611,Jack Donohue
3170,David Hand
346,Akira Kurosawa
859,Stephen Frears
841,David Lynch
11051,Martin Scorsese
242,Francis Ford Coppola
1411,Michael Tolkin
9769,Adrian Lyne
9424,David Nutter
9835,Jim Abrahams
857,Steven Spielberg
20173,Robert Butler
10957,Ted Berman
9570,Gary Nelson
16249,Robert Stevenson
13962,Rupert Wainwright
14612,Norman Tokar
19378,Norman Tokar
29228,Robert Butler
19379,Charles Jarrott
11164,Sam Weisman
18887,Robert Stevenson
40866,Steven Hilliard Stern
10122,Randal Kleiser
9994,Ron Clements
12129,Vincent McEveety
14140,Vincent McEveety
10439,Kenny Ortega
11158,Randal Kleiser
9354,Joe Johnston
28736,Robert Butler
34774,Robert Stevenson
37969,Fletcher Markle
9631,F. Gary Gray
9820,Nancy Meyers
14013,David Zucker
1779,Michael Moore
10849,Woody Allen
678,Jacques Tourneur
907,David Lean
5961,Ingmar Bergman
47908,Peter Masterson
42121,Bruce Beresford
2887,Roger Spottiswoode
11974,Joe Dante
20348,Kevin Reynolds
26648,Liliana Cavani
11911,István Szabó
793,David Lynch
9325,Wolfgang Reitherman
10340,Hamilton Luske
10144,Ron Clements
10414,Stephen Herek
10437,Brian Henson
15300,Kenny Ortega
12230,Hamilton Luske
10693,Hamilton Luske
11335,Robert Altman
11135,Mike Gabriel
11319,Wolfgang Reitherman
14822,John Hough
15969,Alan Zaslove
13155,Walter Murch
10249,Joe Johnston
15943,Robert Stevenson
10882,Clyde Geronimi
24808,Jack Clayton
19762,Robert Stevenson
13850,Wilfred Jackson
2619,Ron Howard
53565,Walt Disney
41841,Jeremiah S. Chechik
27332,Tim Hunter
97,Steven Lisberger
10419,Thomas Carter
11675,Steve Miner
2107,Mick Jackson
6471,Carl Reiner
9442,Carl Reiner
11591,Carl Reiner
13697,Lawrence Kasdan
227,Francis Ford Coppola
87,Steven Spielberg
123,Ralph Bakshi
9314,Michael Radford
11336,David Cronenberg
9980,Stephen King
10657,Fraser Clarke Heston
10489,Lewis Teague
10823,Fritz Kiersch
11497,Gary Goldman
2907,Barry Sonnenfeld
9454,Andy Tennant
8688,Brian De Palma
23954,Louis Malle
12761,Ingmar Bergman
396,Mike Nichols
14367,Chris Columbus
11814,John Hughes
16081,Richard Fleischer
18331,Jerry Lewis
15171,Charles A. Nichols
11837,Martin Rosen
11704,Don Bluth
11639,Frank Oz
4978,Don Bluth
10380,Simon Wells
11976,Ridley Scott
15144,John Hughes
11522,Howard Deutch
11557,Joel Schumacher
13853,Michael Chapman
11415,Steve Miner
37530,Ethan Wiley
8393,Jamie Uys
11937,Jamie Uys
21661,Richard Martin
9320,Jeremiah S. Chechik
33644,Kevin Rodney Sullivan
14662,Tamara Jenkins
125124,Pupi Avati
10692,John McNaughton
805,Roman Polanski
34584,Wolfgang Petersen
34636,George T. Miller
2182,John De Bello
28070,Peter George
77469,Neil LaBute
10278,Joseph Ruben
36647,Stephen Norrington
14557,Alan Cohn
9417,Pat Proft
41469,Brad Anderson
19381,Sarah Kernochan
4011,Tim Burton
161795,Henry Jaglom
1580,Alfred Hitchcock
5854,Alfred Hitchcock
573,Alfred Hitchcock
2370,Alfred Hitchcock
5780,Alfred Hitchcock
506,Alfred Hitchcock
22527,Alfred Hitchcock
574,Alfred Hitchcock
11219,Alfred Hitchcock
30159,Alfred Hitchcock
845,Alfred Hitchcock
1978,Alfred Hitchcock
3682,Mark Christopher
46702,Gregory Nava
847,Ron Howard
117,Brian De Palma
14577,Bob Saget
37498,Tsui Hark
31667,Alfred Hitchcock
13321,Alfred Hitchcock
21734,Alfred Hitchcock
31997,Alfred Hitchcock
24197,Alfred Hitchcock
11462,Alfred Hitchcock
31995,Alfred Hitchcock
940,Alfred Hitchcock
12684,Alfred Hitchcock
2761,Alfred Hitchcock
8208,Alfred Hitchcock
36056,Alfred Hitchcock
2760,Alfred Hitchcock
10220,John Dahl
431,Vincenzo Natali
22796,Mark Steven Johnson
37916,Lina Wertmüller
21873,Tony Bill
21500,Lewis John Carlino
12626,James L. Brooks
37818,Tamar Simon Hoffs
3525,Mike Nichols
2321,Jonathan Demme
2028,Cameron Crowe
16384,Herbert Ross
10699,Stephen Frears
11597,Barry Levinson
47947,Garry Marshall
48311,Charles Band
44772,Jerry Schatzberg
14347,Stanley Donen
41090,Emilio Estevez
18282,Savage Steve Holland
18169,Edward Zwick
11082,Carl Schultz
5971,Neil Jordan
11933,Dan Aykroyd
20096,Terry Hughes
30815,Alan Rudolph
881,Rob Reiner
4478,Adrian Lyne
22318,David Veloz
53113,Carl Franklin
2109,Brett Ratner
24746,Lance Mungia
8195,John Frankenheimer
9877,Jamie Blanks
26618,David Dobkin
21132,Ted Demme
11855,John Waters
24016,Bernardo Bertolucci
3486,Piers Haggard
11071,Gordon Douglas
1091,John Carpenter
10403,Robert Altman
11337,Woody Allen
162,Tim Burton
25723,Jason Bloom
8916,Eric Darnell
28134,Stanley Tucci
9429,John Fortenberry
12159,Vincent Ward
27791,John Pieplow
30197,Mel Brooks
10156,Mel Brooks
10377,Jonathan Lynn
3121,Robert Altman
4975,John Maybury
9713,Stephen Herek
134368,Bruno Barreto
9821,Peter Chelsom
4437,Peter Hyams
1890,Randa Haines
1955,David Lynch
39437,Jonathan Demme
11932,Ronny Yu
6435,Griffin Dunne
10683,Todd Solondz
9445,Bryan Singer
2657,Gary Ross
9425,Paul W. S. Anderson
32326,Bennett Miller
637,Roberto Benigni
8675,Trey Parker
20701,John Harrison
9945,John Carpenter
73,Tony Kaye
18603,S.R. Bindler
46889,Richard LaGravenese
12888,Hype Williams
3033,Bill Condon
9882,Edward Zwick
10663,Frank Coraci
4518,Shekhar Kapur
1808,Todd Haynes
3600,Danny Cannon
17037,Arlene Sanford
297,Martin Brest
21589,Bruce McDonald
11893,Andrei Konchalovsky
12223,Bryan Forbes
32081,Stuart Rosenberg
14924,Alex Cox
10002,Neil Jordan
41817,James D. Parriott
19426,Federico Fellini
12560,Lawrence Kasdan
9798,Tony Scott
14444,Norton Virgien
9487,John Lasseter
9466,Woody Allen
666,Walter Salles
2042,Predrag Antonijević
10162,Kirk Jones
309,Thomas Vinterberg
692,John Waters
24018,Edward D. Wood Jr.
1678,Ishirō Honda
39256,R.J. Kizer
1680,Ishirō Honda
244,Merian C. Cooper
10730,John Guillermin
31947,John Guillermin
8130,Susan Seidelman
11532,John Boorman
9749,Michael Ritchie
14628,Michael Ritchie
9626,Richard Fleischer
13698,Ron Howard
10466,Richard Benjamin
707,John Glen
11954,Tobe Hooper
9336,Hugh Wilson
10157,Jerry Paris
12118,Jerry Paris
10587,Jim Drake
11825,Alan Myerson
11895,Peter Bonerz
9447,George Miller
12257,Dean Parisot
10029,Peter Berg
27104,Ferzan Özpetek
11252,Gus Van Sant
8545,Mark Herman
10223,Sam Raimi
9745,Troy Miller
200,Jonathan Frakes
9837,Simon Wells
11545,Wes Anderson
1934,John Madden
11881,George Seaton
13764,Jeannot Szwarc
24951,John D. Hancock
8879,Clint Eastwood
1369,George P. Cosmatos
1368,Ted Kotcheff
1370,Peter MacDonald
10303,Lewis Teague
9326,Robert Zemeckis
10328,Ron Howard
11285,Daniel Petrie
1367,Sylvester Stallone
1371,Sylvester Stallone
1374,Sylvester Stallone
1375,John G. Avildsen
15196,Jonathan Lynn
11904,Barry Levinson
215875,Jack Fisk
15596,Alan Metter
13818,Mike Nichols
29968,Garry Marshall
44326,Robert M. Young
1885,John G. Avildsen
8856,John G. Avildsen
10495,John G. Avildsen
5825,Jeremiah S. Chechik
9489,Nora Ephron
16885,John Boorman
8741,Terrence Malick
9276,Robert Rodriguez
9822,Ron Underwood
39314,Ernest B. Schoedsack
10312,Tom Shadyac
9441,Chris Columbus
9422,Steven Zaillian
24525,Anthony Drazan
10368,Franco Zeffirelli
31662,Paul Schrader
46992,Anand Tucker
825,Willard Carroll
15556,Irwin Winkler
28902,Neil Jordan
14709,Brian Robbins
9423,John Bruno
10658,Willard Huyck
6917,Tibor Takács
24086,Nick Castle
10344,Chris Walas
15698,Peter Hyams
2620,Mark L. Lester
30497,Tobe Hooper
16337,Tobe Hooper
16780,Kim Henkel
12151,Jerry Zucker
33278,Wes Craven
192,Jean-Jacques Annaud
10945,Penny Marshall
10013,Francis Ford Coppola
9671,Peter Faiman
9396,John Cornell
11038,Jeff Kanew
12278,Steve Miner
11873,Martin Scorsese
18588,John Frankenheimer
10015,Clint Eastwood
12715,J. Lee Thompson
8388,John Landis
8129,Ken Loach
1618,Brian Gibson
10722,Álex de la Iglesia
10314,Robert Iscove
11167,Michael Powell
2112,Brian Helgeland
16172,Mark Tarlov
111794,Myles Berkowitz
9524,Joseph Vilsmaier
20595,James Moll
16306,René Laloux
11622,Hugh Wilson
10207,Luis Mandoki
9849,Donald Petrie
18892,Darren Stein
13466,Joe Johnston
1542,Mike Judge
43978,Samira Makhmalbaf
15256,Risa Bramon Garcia
8224,Joel Schumacher
18417,Garry Marshall
1847,Robert Altman
42113,Shōhei Imamura
8913,Mary Lambert
10906,Mary Lambert
25748,David Price
25749,James D.R. Hickox
8769,John Carpenter
14742,Ron Howard
10671,George Seaton
27932,Jack Smight
7227,Jerry Jameson
10670,James Goldstone
5919,John Guillermin
33518,Lewis Teague
40160,Ronald Neame
2362,Michael Crichton
10803,Michael Anderson
871,Franklin J. Schaffner
1685,Ted Post
1705,J. Lee Thompson
1688,J. Lee Thompson
1687,Don Taylor
166680,Corey Allen
11123,Mark Robson
31638,Irwin Allen
113286,Matthew Diamond
9535,Harold Ramis
9455,James Foley
796,Roger Kumble
100,Guy Ritchie
77936,Benoît Jacquot
30943,Ulu Grosbard
7341,Katt Shea
10350,Christopher Roberts
11772,Robert Wise
9540,David Cronenberg
31503,Bob Balaban
11773,Wolf Rilla
30202,Anton Leader
22345,Bob Clark
1567,Gaspar Noé
1641,Bronwen Hughes
47288,Richard Rich
10212,Antonia Bird
10354,Clint Eastwood
8583,Marshall Herskovitz
16520,Walter Lang
16508,Maurice Joyce
11374,Ron Howard
16379,Scott Silver
28029,Tony Goldwyn
603,Lilly Wachowski
4951,Gil Junger
65749,Carlos Saura
8970,Sam Weisman
9840,Erick Zonca
30950,Philip Saville
11660,Christopher Nolan
9430,Doug Liman
11355,Raja Gosnell
18764,Tsui Hark
9465,Robert Altman
1414,Julio Medem
49981,Roland Joffé
6522,Ted Demme
114719,George Haas
10209,Gillies MacKinnon
22826,Roberto Benigni
1902,Alejandro Amenábar
6396,James Merendino
39964,Jeff Pollack
12596,Mike Newell
9451,Alexander Payne
1946,David Cronenberg
1844,Jon Amiel
6552,Rodman Flender
24584,Simon Shore
25471,Wu Tian-Ming
28519,David Mamet
3309,Michael Curtiz
18462,Thom Eberhardt
28941,Jim Wynorski
18252,Jonathan R. Betuel
8592,Warren Beatty
564,Stephen Sommers
13852,Rob Sitch
25232,Paul Quinn
10210,Michael Hoffman
53862,David Raynr
17962,Hirokazu Kore-eda
9460,Daniel Lee
1893,George Lucas
31342,Peter Chan
44297,Bernardo Bertolucci
8785,Wojciech Has
15849,Karl Freund
18990,Terence Fisher
15660,Frank Perry
1924,Richard Donner
8536,Richard Lester
9531,Richard Lester
11411,Sidney J. Furie
138,Tod Browning
3035,James Whale
3076,Roy William Neill
3079,Terence Fisher
13666,George Waggner
29794,Philippe Mora
9077,Jack Arnold
36685,Jim Sharman
30168,Andrew Solt
10785,Christian Nyby
19483,Jack Arnold
8974,Byron Haskin
11549,Don Siegel
18158,Fred F. Sears
17918,Wes Craven
37305,Lewis Milestone
18784,Robert Wise
509,Roger Michell
1090,Josef Rusnak
15059,Mike Figgis
12117,Jon Turteltaub
11779,Wim Wenders
13533,Robert Meyer Burnett
62676,John Sayles
817,Jay Roach
14283,François Girard
37135,Kevin Lima
2275,Simon West
24137,Oliver Parker
10376,Giuseppe Tornatore
104,Tom Tykwer
15800,Roger Nygard
9032,Dennis Dugan
13821,Rowan Woods
9421,Francis Veber
55955,Udayan Prasad
67067,John Tatoulis
6488,Frank Marshall
9473,Trey Parker
8487,Barry Sonnenfeld
10279,Spike Lee
2105,Chris Weitz
1073,Mark Pellington
10239,Éric Rohmer
10208,Tim Hill
2667,Daniel Myrick
345,Stanley Kubrick
9825,Steve Miner
620,Ivan Reitman
2978,Ivan Reitman
11618,Jan de Bont
332,David Kellogg
8914,Renny Harlin
9824,Kinka Usher
4806,Garry Marshall
33430,Michael Polish
247,Stanley Kubrick
10056,Stanley Kubrick
967,Stanley Kubrick
802,Stanley Kubrick
3175,Stanley Kubrick
147,François Truffaut
1628,François Truffaut
21185,Ken Kwapis
11120,Peter Weir
10136,Michael Ritchie
32060,Gene Saks
48686,Peter R. Hunt
48259,Bruce Beresford
873,Steven Spielberg
48660,Stephen Carpenter
26789,Richard Pearce
3934,Bertrand Blier
108312,Jerrold Freedman
198469,Franco Zeffirelli
11416,Roland Joffé
10776,Frank Oz
24452,Roger Corman
9710,Gary Nelson
31924,Sidney Lumet
30890,Woody Allen
24081,Bob Clark
20242,Arthur Hiller
66194,Jeffrey Delman
3526,Graeme Clifford
16406,Andrew Fleming
10386,Brad Bird
745,M. Night Shyamalan
913,John McTiernan
912,Norman Jewison
12229,Paul McGuigan
67323,Tod Williams
19457,James Gray
11353,Frank Oz
17707,Jonathan Kaplan
9781,Adam Rifkin
18212,Anne Wheeler
13817,Ana Kokkinos
12185,Warren Beatty
28501,Roger Corman
25319,Roger Corman
24103,Gene Wilder
10552,Lewis Teague
9267,Ian MacNaughton
10766,Don Taylor
10768,Graham Baker
813,Jerry Zucker
2665,Ken Finkleman
9406,Anthony Waller
11418,Amy Heckerling
11153,Harold Ramis
14170,George Roy Hill
2280,Penny Marshall
11077,Dennis Dugan
28597,Brian Levant
22611,Masami Hata
39780,Gillian Armstrong
10396,Robert Towne
9944,Alan J. Pakula
850,Bob Clark
10154,Kelly Makin
10342,Kevin Williamson
10366,Mic Rodgers
9349,Roland Emmerich
10494,Satoshi Kon
22314,Michael Rymer
51679,Chuck Workman
11037,Sidney J. Furie
11955,Sidney J. Furie
2038,John Glen
28737,Sidney J. Furie
11963,Sydney Pollack
141489,John Gielgud
9096,John McTiernan
113273,Nanette Burstein
1911,John McTiernan
2900,Rand Ravich
17709,Hugh Wilson
37718,Albert Brooks
2162,Hugh Johnson
14578,Michael Corrente
40694,Rose Troche
49184,Ziad Doueiri
10307,Rupert Wainwright
11601,David Koepp
1075,Emir Kusturica
21719,Hampton Fancher
47951,Masanori Hata
43832,Howard Hawks
47697,Orson Welles
26522,Norman Jewison
28295,William Castle
12105,George Dunning
14,Sam Mendes
24128,Jonathan Demme
11001,Les Mayfield
10390,Sam Raimi
9453,Tinto Brass
704,Richard Lester
142132,Allison Anders
24153,Steve Rash
11797,Tom Holland
18086,Tommy Lee Wallace
17887,Gene Saks
10669,John Boorman
11527,John Boorman
40867,George Abbott
1049,Jon Amiel
28032,Gary Goldman
11326,Ken Russell
28377,Tom DeSimone
10975,Jackie Chan
10974,Jackie Chan
10398,Bruce Beresford
2290,Peter Kassovitz
24071,Lawrence Kasdan
62994,Bruce McCulloch
60994,Audrey Wells
16112,Gary Halvorson
32305,Kevin Elders
14429,John Schultz
15198,Jay Roach
6415,David O. Russell
24066,Mark Illsley
21430,Abel Ferrara
10381,Jake Scott
171982,Andy Mingo
60285,Edward Dmytryk
5622,Federico Fellini
10349,George A. Romero
42518,Dave Fleischer
29787,George A. Romero
9638,Don Coscarelli
10576,Richard Franklin
12662,Anthony Perkins
11712,Akira Kurosawa
12618,Sydney Pollack
13824,Bruce McCulloch
226,Kimberly Peirce
10388,Steven Soderbergh
9346,Paul Brickman
861,Paul Verhoeven
14412,Lawrence Kasdan
9377,John Hughes
11541,Peter Weir
11901,Clint Eastwood
4929,Ted Post
11230,Yuen Woo-ping
8416,Bernardo Bertolucci
11054,John Waters
851,David Lean
24453,John Byrum
18254,Warren Beatty
56235,Terry Sanders
20123,Emir Kusturica
16642,Terrence Malick
3086,Preston Sturges
16305,Preston Sturges
32255,Preston Sturges
19997,Henry Hathaway
3767,Charles Vidor
17352,Joshua Logan
535,Adrian Lyne
2731,Régis Wargnier
1654,Robert Aldrich
14831,Richard Lester
658,Guy Hamilton
657,Terence Young
646,Terence Young
5689,Randal Kleiser
391,Sergio Leone
8052,Paul Thomas Anderson
772,Chris Columbus
31650,Ridley Scott
550,David Fincher
12220,Rob Reiner
1610,David Evans
42881,Harmony Korine
29064,Robert Marcarelli
404,David Lynch
42196,Mervyn LeRoy
36819,Terry Gilliam
42726,Claude Lelouch
9343,Werner Herzog
16858,Bob Fosse
42006,Zhang Yimou
11562,Woody Allen
10496,Louis Morneau
16162,Malcolm D. Lee
8649,Martin Scorsese
31306,Antonio Banderas
10563,Damon Santostefano
14484,Michael Cristofer
32043,William Friedkin
15247,Sidney J. Furie
29251,Bruce Brown
5548,Paul Verhoeven
5549,Irvin Kershner
856,Robert Zemeckis
38772,Jonathan Demme
699,John Glen
709,John Glen
253,Guy Hamilton
13511,George Pavlou
660,Terence Young
11377,William Malone
26149,Wes Craven
492,Spike Jonze
128,Hayao Miyazaki
8672,Werner Herzog
8056,Radu Mihăileanu
2020,Gary Sinyor
9481,Phillip Noyce
9008,Michael Mann
14242,Chris Smith
16129,Don McKellar
11489,Luc Dardenne
28145,Sydney Pollack
18111,Brian Yuzna
31361,Oz Scott
11223,Michael Crichton
16281,George A. Romero
16288,Michael Gornick
1694,Stuart Gordon
476,Gus Van Sant
37094,Joel Schumacher
13555,Tobe Hooper
961,Buster Keaton
24831,Joe Dante
25560,Franco Zeffirelli
21610,Bruce Malmuth
11878,Akira Kurosawa
11510,Bob Logan
11234,Boris Sagal
957,Mel Brooks
11886,Wolfgang Reitherman
37853,John Ford
62204,Jean-Jacques Annaud
11040,Arthur Penn
21849,Elia Kazan
1621,John Landis
14035,Ivan Reitman
40771,Ken Wiederhorn
40772,George Mendeluk
40773,Bob Logan
11498,Kenneth Branagh
11790,Kenneth Branagh
29371,Maria Maggenti
47941,Steve Rash
